metai,?statymai,NEGALIOJA,Galioja
1990,123,93,25
1991,133,98,35
1992,100,67,33
1993,141,102,39
1994,205,124,81
1995,268,162,106
1996,408,215,193
1997,412,184,228
1998,300,132,168
1999,372,140,232
2000,523,194,329
2001,398,146,252
2002,452,124,328
2003,447,84,363
2004,516,65,451
2005,233,40,193
2006,309,45,264
2007,276,38,238
2008,358,52,306
2009,316,48,268
2010,466,74,392
2011,479,76,403
2012,488,66,422
2013,384,56,328
2014,621,60,561
2015,541,54,487
2016,530,37,493
2017,536,10,526
2018,638,46,592
2019,644,33,611
2020,640,23,617
2021,514,5,509
2022,666,3,663
2023,460,2,458
2024,,,
