,year,count
21,1267,2
20,1275,1
19,1285,2
18,1290,1
17,1297,3
16,1313,1
15,1322,3
14,1337,1
13,1350,1
12,1351,2
11,1354,1
10,1361,1
9,1368,1
8,1382,1
7,1405,1
6,1416,1
5,1423,1
4,1424,1
3,1429,1
2,1449,1
1,1469,2
0,1474,1
45,1487,1
44,1491,3
43,1495,2
42,1503,1
41,1512,1
40,1514,1
39,1532,1
38,1533,3
37,1534,1
36,1535,2
35,1536,1
34,1539,1
33,1540,3
32,1542,2
31,1547,1
30,1551,1
29,1554,1
28,1555,1
27,1558,1
26,1560,3
25,1567,2
24,1571,3
23,1572,1
22,1575,1
69,1578,1
68,1579,4
67,1581,2
66,1584,4
65,1585,1
64,1587,2
63,1588,1
62,1592,7
61,1594,3
60,1597,3
59,1600,1
58,1603,1
57,1606,1
56,1607,1
55,1609,1
54,1617,3
53,1621,2
52,1623,2
51,1627,1
50,1633,1
49,1639,1
48,1660,1
47,1661,11
46,1662,2
93,1663,1
92,1666,1
91,1669,2
90,1672,6
89,1677,1
88,1679,1
87,1681,4
86,1685,1
85,1686,1
84,1688,6
83,1689,4
82,1690,4
81,1692,1
80,1693,8
79,1694,2
78,1695,5
77,1696,6
76,1698,3
75,1700,1
74,1701,1
73,1702,3
72,1703,1
71,1705,2
70,1706,2
117,1707,7
116,1708,2
115,1709,1
114,1710,1
113,1711,2
112,1714,1
111,1715,1
110,1716,1
109,1721,1
108,1727,1
107,1730,1
106,1737,3
105,1738,1
104,1743,1
103,1744,1
102,1746,2
101,1750,2
100,1751,2
99,1765,1
98,1770,2
97,1771,1
96,1772,3
95,1773,1
94,1774,2
141,1775,1
140,1776,1
139,1779,1
138,1780,1
137,1781,2
136,1782,1
135,1786,1
134,1787,1
133,1790,1
132,1792,2
131,1793,1
130,1795,2
129,1797,3
128,1798,71
127,1799,86
126,1800,122
125,1801,97
124,1802,120
123,1803,140
122,1804,91
121,1805,103
120,1806,147
119,1807,43
118,1808,164
165,1809,195
164,1810,218
163,1811,221
162,1812,213
161,1813,229
160,1814,164
159,1815,102
158,1816,92
157,1817,81
156,1818,89
155,1819,134
154,1820,91
153,1821,47
152,1822,116
151,1823,131
150,1824,52
149,1825,151
148,1826,112
147,1827,113
146,1828,129
145,1829,139
144,1830,145
143,1831,148
142,1832,122
190,1833,133
189,1834,106
188,1835,118
187,1836,180
186,1837,128
185,1838,148
184,1839,158
183,1840,141
182,1841,120
181,1842,225
180,1843,120
179,1844,65
178,1845,96
177,1846,69
176,1847,303
175,1848,194
174,1849,130
173,1850,136
172,1851,136
171,1852,203
170,1853,267
169,1854,214
168,1855,229
167,1856,163
166,1856,163
214,1857,177
213,1858,21
212,1859,19
211,1860,156
210,1861,23
209,1862,142
208,1863,181
207,1864,275
206,1865,282
205,1866,157
204,1867,231
203,1868,135
202,1869,180
201,1870,189
200,1871,235
199,1872,131
198,1873,182
197,1874,169
196,1875,193
195,1876,70
194,1877,262
193,1878,176
192,1879,243
191,1880,220
238,1881,234
237,1882,285
236,1883,78
235,1884,200
234,1885,173
233,1886,178
232,1887,112
231,1888,215
230,1889,238
229,1890,163
228,1891,241
227,1892,136
226,1893,238
225,1894,235
224,1895,145
223,1896,233
222,1897,252
221,1898,274
220,1899,128
219,1900,80
218,1901,103
217,1902,41
216,1903,271
215,1904,250
262,1905,208
261,1906,109
260,1907,64
259,1908,51
258,1909,63
257,1910,95
256,1911,202
255,1912,178
254,1913,188
253,1914,214
252,1915,123
251,1916,88
250,1917,74
249,1918,83
248,1919,108
247,1920,69
246,1921,51
245,1922,205
244,1923,119
243,1924,205
242,1925,276
241,1926,209
240,1927,234
239,1928,230
286,1929,225
285,1930,293
284,1931,226
283,1932,175
282,1933,176
281,1934,174
280,1935,203
279,1936,260
278,1937,243
277,1938,148
276,1939,218
275,1940,190
274,1941,160
273,1942,208
272,1943,147
271,1944,130
270,1945,181
269,1946,299
268,1947,275
267,1948,441
266,1949,322
265,1950,294
264,1951,287
263,1952,311
310,1953,229
309,1954,232
308,1955,255
307,1956,292
306,1957,323
305,1958,303
304,1959,307
303,1960,321
302,1961,361
301,1962,399
300,1963,396
299,1964,404
298,1965,450
297,1966,1181
296,1967,1451
295,1968,1454
294,1969,1551
293,1970,1766
292,1971,1943
291,1972,2049
290,1973,5984
289,1974,5555
288,1975,6019
287,1976,5656
334,1977,5371
333,1978,5610
332,1979,5448
331,1980,4723
330,1981,5081
329,1982,5913
328,1983,5743
327,1984,5935
326,1985,6199
325,1986,5444
324,1987,6548
323,1988,6870
322,1989,6671
321,1990,6632
320,1991,6787
319,1992,7000
318,1993,6806
317,1994,6741
316,1995,6028
315,1996,5936
314,1997,5855
313,1998,5789
312,1999,6136
311,2000,6065
358,2001,6526
357,2002,6038
356,2003,5987
355,2004,5793
354,2005,5877
353,2006,5666
352,2007,5273
351,2008,4736
350,2009,5034
349,2010,5988
348,2011,6354
347,2012,6184
346,2013,6177
345,2014,6535
344,2015,5098
343,2016,4174
342,2017,3975
341,2018,3682
340,2019,3930
339,2020,4265
338,2021,2377
337,2022,2156
336,2023,2083
335,2024,393
